Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMÓVEIS;IPI - VINCULADO À IMPORTACAO;IPI - OUTROS;IRPF;IRPJ - ENTIDADES FINANCEIRAS;IRPJ - DEMAIS EMPRESAS;IRRF - RENDIMENTOS DO TRABALHO;IRRF - RENDIMENTOS DO CAPITAL;IRRF - REMESSAS P/ EXTERIOR;IRRF - OUTROS RENDIMENTOS;IMPOSTO S/ OPERAÇÕES FINANCEIRAS;IMPOSTO TERRITORIAL RURAL;IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF;CPMF;COFINS;COFINS - FINANCEIRAS;COFINS - DEMAIS;CONTRIBUIÇÃO PARA O PIS/PASEP;CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS;CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS;CSLL;CSLL - FINANCEIRAS;CSLL - DEMAIS;CIDE-COMBUSTÍVEIS (parc. não dedutível);CIDE-COMBUSTÍVEIS;CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES;CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público;CONTRIBUICÕES PARA FUNDAF;REFIS;PAES;RETENÇÃO NA FONTE - LEI 10.833, Art. 30;PAGAMENTO UNIFICADO;OUTRAS RECEITAS ADMINISTRADAS;DEMAIS RECEITAS;RECEITA PREVIDENCIÁRIA;RECEITA PREVIDENCIÁRIA - PRÓPRIA;RECEITA PREVIDENCIÁRIA - DEMAIS;ADMINISTRADAS POR OUTROS ÓRGÃOS
2000;Fevereiro;BA;10061984;0;5105347;7942198;0;10879368;25325931;2447841;972219;15837240;27091958;9060337;2122744;2401464;1240415;116888;0;11837628;73847013;;;19204205;;;12630029;;;;;10209375;;567746;;;;;427675;;;;;
2000;Fevereiro;CE;6869180;0;4116955;2240524;0;1325196;4111362;1816175;113698;9237355;17249738;2465521;463490;1113845;769343;17587;0;4368072;37300896;;;12286897;;;4813934;;;;;6710522;;470291;;;;;271815;;;;;
2000;Fevereiro;DF;2526852;133;3263271;3316026;0;2710993;1039924;3740156;7494311;44838722;175214663;71717030;2763661;23564185;63969246;89303;0;230044307;102979088;;;50672665;;;25293697;;;;;70655219;;821846;;;;;33216348;;;;;
2000;Fevereiro;ES;46433679;0;3001093;136575;1664809;31494287;4910983;1142166;14434;9838869;11828814;1527315;5090332;2207716;407235;24395;0;69748;37821279;;;8535606;;;5244256;;;;;3961437;;1503363;;;;;369371;;;;;
2000;Fevereiro;GO;2759681;0;3019726;3879169;0;644524;2672330;1116612;18264;18567553;9511379;1268042;716357;1492546;569949;155655;0;3885884;39024921;;;10951114;;;8059380;;;;;5200988;;639371;;;;;181368;;;;;
2000;Fevereiro;MA;721208;0;1034129;2964582;0;205873;806613;534351;4323;1978585;4671437;185858;148585;326385;90025;56639;0;619106;8414577;;;5261892;;;1449622;;;;;3909086;;98889;;;;;114111;;;;;
2000;Fevereiro;MT;768340;0;1560110;1912273;0;160736;472501;564202;178;3485754;6127137;540815;142184;509403;85238;136139;0;666285;15300107;;;4448971;;;4762436;;;;;4496030;;155182;;;;;99229;;;;;
2000;Fevereiro;MS;227166;0;838814;171200;0;159741;597463;755124;6813;2572877;3408475;592503;17740;253451;88303;134514;0;200833;11238029;;;3509163;;;1864691;;;;;4041441;;87565;;;;;75540;;;;;
2000;Fevereiro;MG;28321797;13;14225672;8174782;45788926;13539275;49137262;9397799;3816282;48244571;56798033;14917715;6422417;16595106;3024860;227970;0;16523270;171139630;;;41489024;;;31129893;;;;;15615388;;1785305;;;;;977157;;;;;
2000;Fevereiro;PA;1530047;7451;2367286;681810;0;836712;859849;970967;7924112;29719875;8340682;748073;135634;676208;179340;92556;0;2898627;18031210;;;6415218;;;25045879;;;;;4510600;;251145;;;;;202686;;;;;
2000;Fevereiro;PB;769182;0;1839704;2143795;0;469260;1604482;574091;4277;4574979;6812353;153732;44702;194751;137918;20187;0;229673;12098349;;;2856862;;;3247126;;;;;6400194;;203329;;;;;49306;;;;;
2000;Fevereiro;PR;50820306;0;6395079;4440417;32178732;30236508;25251990;5719602;9674282;39612008;38722436;30314251;7987108;4681441;8708053;213488;0;70744967;116003465;;;25886174;;;30028055;;;;;9542947;;1126895;;;;;698529;;;;;
2000;Fevereiro;PE;8305184;0;5858574;4810583;0;3339032;8981822;2093340;131047;10253983;21641059;1520451;600655;1968640;580534;57100;0;2847782;43637067;;;12240249;;;6495181;;;;;8537808;;1406435;;;;;275416;;;;;
2000;Fevereiro;PI;359194;0;928022;677756;0;204303;351020;372464;14278;4700138;3090246;48451;16257;121660;46262;35869;0;181856;6904831;;;2129607;;;2600844;;;;;2370806;;90740;;;;;73317;;;;;
2000;Fevereiro;RJ;44350195;225;23439256;23164101;20200;24225802;58224527;27634980;89382492;216169951;228390081;103634492;67288529;21697672;12370162;62484;0;28111624;667575625;;;148892650;;;231683178;;;;;34982293;;4551788;;;;;20841699;;;;;
2000;Fevereiro;RN;780184;0;1709148;829992;0;331106;119458;409703;1662;2045454;5707010;211418;309054;274864;9362;11554;0;69430;10908391;;;2867450;;;1832662;;;;;6393862;;182400;;;;;92479;;;;;
2000;Fevereiro;RS;21716807;12491;20056271;8848041;0;13330148;54949401;6769975;4779231;35805521;60489547;14297647;5632584;8851367;4871468;181579;0;28033133;179886737;;;38754224;;;22223026;;;;;9998124;;2599814;;;;;795129;;;;;
2000;Fevereiro;RO;13719;0;574302;0;0;6661;28357;402530;2512;1254829;2840816;159544;2010;196797;7403;22116;0;43644;6001610;;;2074054;;;1129312;;;;;5194695;;58136;;;;;38751;;;;;
2000;Fevereiro;RR;7911;0;237936;0;0;5655;1006;69453;2905;289754;944039;4150;694;21412;0;5244;0;3833;1049745;;;411342;;;219154;;;;;2454872;;21815;;;;;12443;;;;;
2000;Fevereiro;SC;14857636;4625;5271404;5305143;0;8433527;24542123;3424487;165401;19525803;21882186;3260130;924559;3687151;1530751;61873;0;6783384;78733552;;;17944982;;;10432983;;;;;5186262;;598704;;;;;362252;;;;;
2000;Fevereiro;SP;318467575;2833;55153462;48104325;117796256;176230099;334365861;83298947;569130208;373653799;547494134;442015611;133545513;59831418;144981191;912448;0;715791164;1061357283;;;266573103;;;437578304;;;;;26223552;;19775863;;;;;6754146;;;;;
2000;Fevereiro;SE;632278;0;942624;4704998;0;393152;1146194;691187;317635;1566162;3336657;321154;83593;782633;112111;19284;0;995671;8007522;;;2197174;;;1256551;;;;;2012089;;87841;;;;;40557;;;;;
2000;Fevereiro;TO;758572;0;363071;83379;0;2572;54581;80074;169;425608;603073;9896;11003;65820;1411;30433;0;9217;2425322;;;731243;;;431192;;;;;683263;;34308;;;;;32299;;;;;
2000;Março;AC;2648;0;245759;0;0;101;7468;127554;869;385853;1373613;65413;2390;27998;956;3504;0;295;1419197;;;410717;;;225086;;;;;1594050;;22334;;;;;15766;;;;;
2000;Março;AL;426343;17202;1203411;916046;0;1857;3361245;672321;701;1142497;23869315;214354;128651;378479;12043;18922;0;84884;7335820;;;2581814;;;1040805;;;;;4368849;;112504;;;;;4428635;;;;;
2000;Março;AP;22123;0;350123;751;321;25742;3748;132843;0;476850;2066766;13036;41085;38075;1636;1471;0;0;1448905;;;459670;;;339903;;;;;3960971;;31973;;;;;9611;;;;;
2000;Março;AM;10972356;0;1300714;476115;44468;2953561;802091;749017;27655;36028459;12254462;717520;1618218;1143313;757087;8657;0;1139796;47349523;;;12475128;;;41214553;;;;;4392703;;144546;;;;;159876;;;;;
2000;Março;BA;11910139;87;5028068;6464484;0;11469220;21694437;3362652;930917;21192109;35578798;12627929;9875254;3513662;1554986;101498;0;14407594;74548208;;;21460226;;;15408733;;;;;12404080;;514356;;;;;400726;;;;;
2000;Março;CE;6648280;0;3910697;1559125;0;1185619;2963050;2278029;846563;9835129;17653773;2569367;855090;1408366;918712;32459;0;5237711;34677467;;;9457147;;;8874178;;;;;7847630;;458700;;;;;626831;;;;;
2000;Março;DF;1999507;0;3169124;3071729;133;4179861;565247;3271685;14403119;36083633;239060252;127004004;2533842;35819521;29690798;164446;0;289781174;102126116;;;48167991;;;222063331;;;;;53359542;;817403;;;;;73892451;;;;;
2000;Março;ES;40041522;0;3156288;148665;1811185;29806015;8066467;1293448;6601;21241520;11752073;1979868;6385807;1488404;438203;23901;0;79703;40400283;;;9223247;;;7211730;;;;;3350245;;441755;;;;;370138;;;;;
